Date,AAPL
2023-04-13,165.5600
2023-04-12,160.1000
2023-04-11,160.8000
2023-04-10,162.0300
2023-04-06,164.6600
2023-04-05,163.7600
2023-04-04,165.6300
2023-04-03,166.1700
2023-03-31,164.9000
2023-03-30,162.3600
2023-03-29,160.7700
2023-03-28,157.6500
2023-03-27,158.2800
2023-03-24,160.2500
2023-03-23,158.9300
2023-03-22,157.8300
2023-03-21,159.2800
2023-03-20,157.4000
2023-03-17,155.0000
2023-03-16,155.8500
2023-03-15,152.9900
2023-03-14,152.5900
2023-03-13,150.4700
2023-03-10,148.5000
2023-03-09,150.5900
2023-03-08,152.8700
2023-03-07,151.6000
2023-03-06,153.8300
2023-03-03,151.0300
2023-03-02,145.9100
2023-03-01,145.3100
2023-02-28,147.4100
2023-02-27,147.9200
2023-02-24,146.7100
2023-02-23,149.4000
2023-02-22,148.9100
2023-02-21,148.4800
2023-02-17,152.5500
2023-02-16,153.7100
2023-02-15,155.3300
2023-02-14,153.2000
2023-02-13,153.8500
2023-02-10,151.0100
2023-02-09,150.8700
2023-02-08,151.9200
2023-02-07,154.6500
2023-02-06,151.7300
2023-02-03,154.5000
2023-02-02,150.8200
2023-02-01,145.4300
